response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
24549,CES201911,2020,paperclip,gebruiken,,,1,5
25839,CES201911,2078,paperclip,   ,,,0,0
25840,CES201911,2078,paperclip,  ,,,0,0
25841,CES201911,2078,paperclip,                ,,,0,0
27451,CES201911,2156,paperclip,kunt,,,0,0
29054,CES201911,2214,paperclip,'sleutel' (voor inbreken bij een deurslot),'sleutel','key',4,3
31891,CES201911,2345,paperclip,als 'touw','touw','rope',3,2
28783,CES201911,2201,paperclip,*touw,*touw,*rope,3,2
28956,CES201911,2209,paperclip,als aanwijzer gebruiken voor makeup,aanwijzer make-up,pointer makeup,4,3
25259,CES201911,2051,paperclip,om aas aan te hangen,aas hangen,hang bait,3,4
31892,CES201911,2345,paperclip,als accesoire om je schoen,accessoire schoen,accessory shoe,3,4
25484,CES201911,2065,paperclip,accessoires,accessoires,accessories,3,4
30389,CES201911,2278,paperclip,afleiden,afleiden,distract,0,0
28655,CES201911,2197,paperclip,als afval prikker gebruiken,afval prikker,waste picker,3,2
28858,CES201911,2204,paperclip,alluminium,alluminium,aluminum,4,3
30288,CES201911,2276,paperclip,alternatief voor een knoop ,alternatief knoop,alternative button,3,3
27993,CES201911,2177,paperclip,antenne,antenne,antenna,4,3
24094,CES201911,2001,paperclip,aparte vork,aparte vork,separate fork,3,3
28210,CES201911,2185,paperclip,Apparaat resetten,apparaat resetten,reset device,2,3
31795,CES201911,2331,paperclip,een apparaat mee resetten,apparaat resetten,reset device,2,3
30505,CES201911,2286,paperclip,archief,archief,archive,0,0
25156,CES201911,2046,paperclip,armband,armband,bracelet,3,4
26528,CES201911,2111,paperclip,Armband,armband,bracelet,3,4
26960,CES201911,2132,paperclip,armband van maken,armband,bracelet,3,4
27228,CES201911,2146,paperclip,armband,armband,bracelet,3,4
27446,CES201911,2156,paperclip,armband,armband,bracelet,3,4
27886,CES201911,2174,paperclip,armband,armband,bracelet,3,4
28162,CES201911,2182,paperclip,armband,armband,bracelet,3,4
28223,CES201911,2186,paperclip,armband maken,armband,bracelet,3,4
29992,CES201911,2267,paperclip,armband,armband,bracelet,3,4
30440,CES201911,2281,paperclip,als armband gebruiken,armband,bracelet,3,4
31426,CES201911,2323,paperclip,armband,armband,bracelet,3,4
31644,CES201911,2332,paperclip,een armband,armband,bracelet,3,4
31895,CES201911,2345,paperclip,als armband,armband,bracelet,3,4
31972,CES201911,2349,paperclip,armband,armband,bracelet,3,4
32121,CES201911,2356,paperclip,een armband maken,armband,bracelet,3,4
30940,CES201911,2310,paperclip,armband bij elkaar houden wanneer kapot,armband elkaar houden wanneer kapot,keep bracelet together when broken,3,4
27554,CES201911,2163,paperclip,of armband of slinger,armband slinger,bracelet pendulum,3,4
30458,CES201911,2284,paperclip,armbandje,armbandje,bracelet,3,4
29104,CES201911,2221,paperclip,armandjes maken ,armbandjes,bracelets,3,4
31352,CES201911,2321,paperclip,armen voor zelfgemaakt poppetje,armen zelfgemaakt poppetje,poor homemade doll,4,4
23589,CES201911,1964,paperclip,as,as,ash,0,0
31066,CES201911,2313,paperclip,as a sextoy,as a sextoy,as sex toy,5,2
23585,CES201911,1964,paperclip,asdf,asdf,asdf,0,0
23591,CES201911,1964,paperclip,asdf,asdf,asdf,0,0
23592,CES201911,1964,paperclip,asdf,asdf,asdf,0,0
23586,CES201911,1964,paperclip,asdfa,asdfa,asdfa,0,0
23583,CES201911,1964,paperclip,asdfasdf,asdfasdf,asdfasdf,0,0
23584,CES201911,1964,paperclip,asdfasdf,asdfasdf,asdfasdf,0,0
23588,CES201911,1964,paperclip,asf,asf,asf,0,0
27982,CES201911,2177,paperclip,assecoire,assecoire,accessory,3,4
31991,CES201911,2350,paperclip,babyspeeltje,babyspeeltje,baby toy,4,1
32409,CES201911,2370,paperclip,backscratcher,backscratcher,backscratcher,4,3
28892,CES201911,2206,paperclip,ballen doorprikken,ballen doorprikken,puncture balls,2,5
32246,CES201911,2360,paperclip,ballon op hangen,ballon hangen,hanging balloon,2,4
31798,CES201911,2331,paperclip,een ballon lekprikken,ballon lekprikken,balloon puncture,2,5
24605,CES201911,2021,paperclip,ballonnenprikker,ballonnenprikker,balloon stick,2,5
31832,CES201911,2339,paperclip,bamboo prikker voor de barbeque,bamboo prikker barbecue,bamboo skewer barbecue,3,4
29323,CES201911,2228,paperclip,band mee lek prikken\,band lek prikken,puncture tire,2,4
29220,CES201911,2222,paperclip,als barbeque stokjes,barbecue stokjes,barbecue sticks,3,3
30500,CES201911,2286,paperclip,bedrijf,bedrijf,company,0,0
28323,CES201911,2188,paperclip,een beeld ervan maken ,beeld ervan,image of it,3,3
32404,CES201911,2370,paperclip,beeldje,beeldje,figurine,3,3
29434,CES201911,2236,paperclip,als bestek gebruiken,bestek,cutlery,3,3
29685,CES201911,2255,paperclip,als bestek gebruiken ,bestek,cutlery,3,3
31546,CES201911,2325,paperclip,bestek,bestek,cutlery,3,3
31992,CES201911,2350,paperclip,betaalmiddel,betaalmiddel,means of payment,3,2
29317,CES201911,2228,paperclip,als beugel gebruike,beugel,clamp,4,3
29739,CES201911,2259,paperclip,beugel maken,beugel,clamp,4,3
31837,CES201911,2339,paperclip,beugel,beugel,clamp,4,3
31210,CES201911,2318,paperclip,bevestiging van maken,bevestiging,confirmation,2,4
24606,CES201911,2021,paperclip,bh-bandjes bij elkaar houden,bh-bandjes elkaar houden,keep bra straps together,3,4
24434,CES201911,2015,paperclip,bh bandjes aan elkaar haken,bh bandjes elkaar haken,bra straps hook together,3,4
26995,CES201911,2134,paperclip,bh bandjes aan elkaar vast maken,bh bandjes elkaar vast,bra straps together,3,4
31609,CES201911,2329,paperclip,om je bh aan je bandjes van je hemd te spelden als  je je bhbandje niet wil zien,bh bandjes hemd spelden bh-bandje niet zien,bra straps shirt pins bra strap not visible,3,4
30574,CES201911,2291,paperclip,bh bandjes weg werken,bh bandjes weg werken,getting rid of bra straps,3,4
25152,CES201911,2046,paperclip,bij je bh een bredere omvang krijgen,bh bredere omvang krijgen,bra get wider size,3,4
26967,CES201911,2132,paperclip,om je bh aan elkaar vast te maken zodat je de bandjes niet ziet als je en hempje aan hebt,bh elkaar vast zodat bandjes niet ziet hemdje hebt,bra together so that straps are not visible,3,4
30573,CES201911,2291,paperclip,bh sluiting,bh sluiting,bra closure,3,4
27992,CES201911,2177,paperclip,bieropener,bieropener,beer opener,4,3
24567,CES201911,2020,paperclip,bijten,bijten,bite,1,4
29063,CES201911,2216,paperclip,binden,binden,tie,2,4
29481,CES201911,2243,paperclip,binden,binden,tie,2,4
30509,CES201911,2286,paperclip,binden,binden,tie,2,4
32603,CES201911,2380,paperclip,binder,binder,binder,2,4
28802,CES201911,2203,paperclip,blaadje,blaadje,leaf,1,0
28615,CES201911,2195,paperclip,blaadjes bij elkaar,blaadjes elkaar,leaves together,1,5
31417,CES201911,2323,paperclip,blaadjes bij elkaar houden,blaadjes elkaar houden,leaves hold together,1,5
26992,CES201911,2134,paperclip,bladjes aan elkaar vast zetten ,blaadjes elkaar vast zetten,attach leaves together,1,5
30378,CES201911,2278,paperclip,blaadjes vastmaken,blaadjes vastmaken,attach leaves,1,5
30639,CES201911,2292,paperclip,blaar doorprikken,blaar doorprikken,puncture blister,2,5
25158,CES201911,2046,paperclip,black heads uitknijpen,blackheads uitknijpen,squeezing blackheads,4,4
27549,CES201911,2163,paperclip,bladen aan elkaar maken,bladen elkaar,leaves together,1,5
26941,CES201911,2130,paperclip,bladen van elkaar scheiden ,bladen elkaar scheiden,separate leaves,1,5
26940,CES201911,2130,paperclip,bladen mee aan elkaar vastbinden,bladen elkaar vastbinden,tying leaves together,1,5
28674,CES201911,2198,paperclip,bladerhouder,bladerhouder,leaf holder,1,5
25762,CES201911,2073,paperclip,bladwijzer,bladwijzer,bookmark,1,5
30561,CES201911,2288,paperclip,als bladzije onthouder gebruiken,bladzijde onthouder,page memorizer,1,5
27226,CES201911,2146,paperclip,blaren prikker,blaren prikker,blister stick,2,5
31575,CES201911,2328,paperclip,bloem mee versteviging,bloem versteviging,flower reinforcement,3,3
29216,CES201911,2222,paperclip,om je bloes dicht te houden als hij steeds open schiet,bloes dicht houden steeds open schiet,keep blouse closed always popping open,3,4
29326,CES201911,2228,paperclip,je blouse mee vast zetten,blouse vast zetten,fasten blouse,3,4
28803,CES201911,2203,paperclip,boek,boek,book,0,0
24603,CES201911,2021,paperclip,boekenlegger,boekenlegger,bookmark,3,5
25417,CES201911,2059,paperclip,boekenlegger,boekenlegger,bookmark,3,5
28219,CES201911,2186,paperclip,als boekenlegger,boekenlegger,bookmark,3,5
28327,CES201911,2188,paperclip,boekenlegger,boekenlegger,bookmark,3,5
28658,CES201911,2197,paperclip,boekenlegger,boekenlegger,bookmark,3,5
29053,CES201911,2214,paperclip,boekenlegger,boekenlegger,bookmark,3,5
29108,CES201911,2221,paperclip,als boekenlegger,boekenlegger,bookmark,3,5
30289,CES201911,2276,paperclip,boekenlegger,boekenlegger,bookmark,3,5
30579,CES201911,2289,paperclip,boekenlegger,boekenlegger,bookmark,3,5
31205,CES201911,2318,paperclip,boekenlegger,boekenlegger,bookmark,3,5
31987,CES201911,2350,paperclip,boekenlegger,boekenlegger,bookmark,3,5
28964,CES201911,2209,paperclip,boekenlegger voor welke regel je bent,boekenlegger welke regel bent,bookmark which rule you are,3,5
29738,CES201911,2259,paperclip,boodschappen achterlaten door ergens in te krassen,boodschappen achterlaten ergens krassen,leaving messages scratched somewhere,4,4
32118,CES201911,2356,paperclip,een boom inkrassen,boom inkrassen,scratch tree,3,4
26809,CES201911,2127,paperclip,boor,boor,drill,4,2
32239,CES201911,2362,paperclip,boterhamzakje dichtmaken,boterhamzakje dichtmaken,close sandwich bag,2,4
29044,CES201911,2215,paperclip,bouwen,bouwen,build,2,4
30763,CES201911,2299,paperclip,bouwen,bouwen,build,2,4
28850,CES201911,2204,paperclip,box,box,box,0,0
27988,CES201911,2177,paperclip,brandmerker,brandmerker,brand,4,3
25529,CES201911,2067,paperclip,BREAK,break,break,0,0
25530,CES201911,2067,paperclip,BREAK,break,break,0,0
24556,CES201911,2020,paperclip,breken,breken,break,1,4
29052,CES201911,2215,paperclip,briefopener,briefopener,letter opener,3,4
31976,CES201911,2349,paperclip,broche,broche,brooch,3,3
32243,CES201911,2362,paperclip,broche maken,broche,brooch,3,3
24433,CES201911,2015,paperclip,broche bevestigen,broche bevestigen,attach brooch,3,4
25754,CES201911,2071,paperclip,om je broek bij elkaar te houden,broek elkaar houden,keep pants together,3,4
29324,CES201911,2228,paperclip,je broeken mee vast zetten,broeken vast zetten,fasten trousers,3,4
27984,CES201911,2177,paperclip,broekknoop,broekknoop,trouser button,3,4
32257,CES201911,2360,paperclip,je broekknoop vast maken,broekknoop vast,trouser button fastened,3,4
