research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
CES201606,755,19,belt,om om te doen,,,1,5
CES201606,1569,39,belt,als accesoire,accessoire,accessory,1,5
CES201606,506,16,belt,accescoire bij outfit,accessoire outfit,accessory outfit,1,5
CES201606,760,19,belt,als afbakening van iets (lijn neerleggen),afbakening,demarcation,3,5
CES201606,1004,22,belt,armband van maken,armband,bracelet,3,4
CES201606,1881,46,belt,armband,armband,bracelet,3,4
CES201606,1736,44,belt,Twee balken bijelkaar houden,balken elkaar houden,beams hold together,2,5
CES201606,503,16,belt,band om iets bij elkaar te houden anders dan broek. bijv opgerolde handdoek,band elkaar houden anders broek oorbeeld oorbeeld opgerolde handdoek,band hold together otherwise pants example example rolled up towel,2,5
CES201606,1802,45,belt,blinddoek,blinddoek,blindfold,4,3
CES201606,1204,27,belt,bloeden stelpen,bloeden stelpen,stop bleeding,4,4
CES201606,979,23,belt,boekenlegger,boekenlegger,bookmark,4,5
CES201606,1806,45,belt,bondage,bondage,bondage,2,5
CES201606,2001,48,belt,boompje aan paal vastmaken,boompje paal vastmaken,attach tree to pole,2,5
CES201606,1886,46,belt,bretels,bretels,braces,3,3
CES201606,865,20,belt,broek dichthouden,broek dichthouden,keep your pants closed,1,5
CES201606,662,18,belt,je broek op te hijsen ,broek hijsen,hoist pants,1,5
CES201606,1565,39,belt,broek om hoog houden,broek hoog houden,keep pants up,1,5
CES201606,352,14,belt,om je broek mee vast te maken,broek vast,pants,1,5
CES201606,1247,28,belt,om je broek zodat die niet afzakt,broek zodat niet afzakt,pants so that they do not fall down,1,5
CES201606,2108,50,belt,bruggetje mee bouwen van tafel naar tafel voor je cavia,bruggetje bouwen tafel tafel cavia,build bridge table table guinea pig,5,4
CES201606,990,23,belt,cadeau lint,cadeau lint,gift ribbon,3,4
CES201606,761,19,belt,om een dansje mee te doen,dansje,dance,3,5
CES201606,2040,49,belt,danspartners aan elkaar vastbinden ter oefening,danspartners elkaar vastbinden ter oefening,dance partners tie together for exercise,3,5
CES201606,1113,25,belt,deur open houder,deur open houder,door open holder,3,5
CES201606,215,12,belt,een ding om gordijnen aan op te hangen,ding gordijnen hangen,hanging thing curtains,3,4
CES201606,217,12,belt,een ding van een lamel,ding lamel,thing slat,4,4
CES201606,2132,51,belt,als ding tussen jou en een hete pan,ding tussen jou hete pan,thing between your hot pan,4,3
CES201606,1159,26,belt,gebruiken om dingen bij elkaar te houden,dingen elkaar houden,things hold together,2,5
CES201606,1567,39,belt,dingen bij elkaar houden,dingen elkaar houden,things hold together,2,5
CES201606,2130.1,51,belt,dingen bij elkaar houden,dingen elkaar houden,things hold together,2,5
CES201606,361,14,belt,om dingen aan elkaar vast te binden,dingen elkaar vast binden,tie things together,2,5
CES201606,665,18,belt,om dingen bij elkaar vast te binden ,dingen elkaar vast binden,tie things together,2,5
CES201606,1947,47,belt,om een doek over een emmer vast te maken,doek emmer vast,cloth bucket,3,5
CES201606,1363,30,belt,drukknopen,drukknopen,snaps,0,0
CES201606,1354,30,belt,elastiek,elastiek,elastic,2,3
CES201606,1405,35,belt,iets bij elkaar binden,elkaar binden,bind together,2,5
CES201606,1008,22,belt,iets aan elkaar binden achterop je fietsenrek,elkaar binden achterop fietsenrek,tie together back of bicycle rack,2,5
CES201606,1003,22,belt,aan elkaar binden en deur mee barricaderen,elkaar binden deur barricaderen,tie together door barricading,2,5
CES201606,1948,47,belt,als fashion item zonder dat het iets doet,fashion item doet,fashion item does,1,5
CES201606,1007,22,belt,je fiets vastzetten,fiets vastzetten,secure bicycle,2,3
CES201606,1528,38,belt,je fiets mee versieren,fiets versieren,decorate bicycle,3,4
CES201606,2107,50,belt,op een fluitje blazen op hopen dat de riem als een Indiase cobra omhoog komt en gaat dansen,fluitje blazen hopen riem Indiase cobra omhoog komt gaat dansen,blow whistle heaps belt Indian cobra comes up starts dancing,5,2
CES201606,763,19,belt,als gaatjesprikker gebruiken,gaatjes prikken,poke holes,3,3
CES201606,769,19,belt,om er gaatjes bij te prikken,gaatjes prikken,poke holes,3,3
CES201606,668,18,belt,om een gat mee te dichten,gat dichten,close gap,3,3
CES201606,359,14,belt,geluid mee maken ,geluid,sound,3,4
CES201606,1466,36,belt,iemand mee gevangen nemen,gevangen nemen,capture,2,5
CES201606,1884,46,belt,gitaarband,gitaarband,guitar strap,3,5
CES201606,577,17,belt,gooien,gooien,throw,2,5
CES201606,976,23,belt,gordijn vast maken,gordijn vast,fix curtain,3,4
CES201606,214,12,belt,haarband,haarband,hair band,3,4
CES201606,666,18,belt,om een haarband van te maken ,haarband,hair band,3,4
CES201606,981,23,belt,haarband,haarband,hair band,3,4
CES201606,1114,25,belt,haarband,haarband,hair band,3,4
CES201606,1493,37,belt,haarband,haarband,hair band,3,4
CES201606,1799,45,belt,haarband,haarband,hair band,3,4
CES201606,1494,37,belt,halsband voor de hond,halsband hond,collar dog,3,5
CES201606,983,23,belt,handboeien,handboeien,handcuffs,2,5
CES201606,436,15,belt,je kunt er aan hangen,hangen,hang,2,4
CES201606,756,19,belt,om op te hangen,hangen,hang,2,4
CES201606,1498,37,belt,om iets op te hangen,hangen,hang,2,4
CES201606,356,14,belt,je kunt er een heel lang touw van maken als je allemaal riemen aan elkaar maakt,heel lang touw allemaal riemen elkaar maakt,very long rope that makes all straps together,2,5
CES201606,1697,43,belt,met heel veel riemen kan je een leren stoel maken,heel riemen leren stoel,very straps leather chair,3,4
CES201606,1005,22,belt,helaas ook iemand ernstig mee verwonden,helaas ernstig verwonden,unfortunately seriously injure,2,5
CES201606,989,23,belt,hengel,hengel,fishing rod,5,3
CES201606,1464,36,belt,hond mee uitlaten,hond uitlaten,walking dog,2,5
CES201606,1529,38,belt,als hondenlijn gebruiken,hondenlijn,dog leash,2,5
CES201606,362,14,belt,als hondenriem,hondenriem,dog leash,2,5
CES201606,985,23,belt,hondenriem,hondenriem,dog leash,2,5
CES201606,1158,26,belt,om je hoofd dragen,hoofd dragen,carry head,3,4
CES201606,1207,27,belt,hoofdband,hoofdband,headband,3,4
CES201606,1693,43,belt,hoofdband,hoofdband,headband,3,4
CES201606,1998,48,belt,hoosgste stapel maken,hoogste stapel,highest pile,2,3
CES201606,2131.1,51,belt,als hulpmioddel voor extra kracht,hulpmiddel extra kracht,tool extra strength,2,4
