research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201610,8906,554,towel,meer,,,0,0
CES201610,8455,503,towel,AAIEN,aaien,pet,3,5
CES201610,9499,596,towel,aanrecht drogen,aanrecht drogen,countertop dry,1,5
CES201610,12431,770,towel,een aantal handdoeken aan elkaar gebruiken als lang touw ,aantal handdoeken elkaar lang touw,number of towels together long rope,3,3
CES201610,8903,554,towel,abtrocknen,abtrocknen,dry,1,5
CES201610,8616,530,towel,accesoire ,accessoire,accessory,3,3
CES201610,11292,707,towel,als accessoire gebruiken,accessoire,accessory,3,3
CES201610,7989,479,towel,af te drogen,af drogen,dry,1,5
CES201610,9105,569,towel,Om je mee af te drogen,af drogen,dry,1,5
CES201610,9702,605,towel,af te drogen,af drogen,dry,1,5
CES201610,11179,695,towel,om je mee af te drogen,af drogen,dry,1,5
CES201610,11507,710,towel,gebruiken om mee af te wassen,af wassen,wash up,1,5
CES201610,8615.5,530,towel, afdak,afdak,shelter,3,4
CES201610,8458,503,towel,IETS AFDEKKEN,afdekken,cover,2,4
CES201610,10419,638,towel,Afdekken,afdekken,cover,2,4
CES201610,11162,692,towel,iets afdekken,afdekken,cover,2,4
CES201610,10482,644,towel,afdekking lichaam,afdekking lichaam,body cover,2,4
CES201610,7908,476,towel,afdrogen,afdrogen,dry,1,5
CES201610,8151,491,towel,afdrogen ,afdrogen,dry,1,5
CES201610,8215,494,towel,afdrogen,afdrogen,dry,1,5
CES201610,8264,497,towel,afdrogen,afdrogen,dry,1,5
CES201610,8282,500,towel,afdrogen,afdrogen,dry,1,5
CES201610,8450,503,towel,AFDROGEN,afdrogen,dry,1,5
CES201610,8345,506,towel,afdrogen,afdrogen,dry,1,5
CES201610,8331,509,towel,afdrongen,afdrogen,dry,1,5
CES201610,8332,509,towel,afdrogen*,afdrogen,dry,1,5
CES201610,8427,512,towel,afdrogen,afdrogen,dry,1,5
CES201610,8459,515,towel,afdrogen,afdrogen,dry,1,5
CES201610,8488,518,towel,afdrogen,afdrogen,dry,1,5
CES201610,8648,524,towel,afdrogen,afdrogen,dry,1,5
CES201610,8601,527,towel,afdrogen,afdrogen,dry,1,5
CES201610,8615.1,530,towel,afdrogen,afdrogen,dry,1,5
CES201610,8661,539,towel,afdrogen,afdrogen,dry,1,5
CES201610,8784,545,towel,afdrogen,afdrogen,dry,1,5
CES201610,8975,560,towel,afdrogen,afdrogen,dry,1,5
CES201610,9173,578,towel,afdrogen,afdrogen,dry,1,5
CES201610,9235,581,towel,afdrogen,afdrogen,dry,1,5
CES201610,9323,587,towel,afdrogen,afdrogen,dry,1,5
CES201610,9432,593,towel,Afdrogen,afdrogen,dry,1,5
CES201610,9655,602,towel,afdrogen,afdrogen,dry,1,5
CES201610,10270,620,towel,afdrogen,afdrogen,dry,1,5
CES201610,10373,632,towel,afdrogen,afdrogen,dry,1,5
CES201610,10402,638,towel,Afdrogen,afdrogen,dry,1,5
CES201610,10503,641,towel,afdrogen,afdrogen,dry,1,5
CES201610,10477,644,towel,afdrogen,afdrogen,dry,1,5
CES201610,10553,647,towel,afdrogen,afdrogen,dry,1,5
CES201610,10613,653,towel,afdrogen,afdrogen,dry,1,5
CES201610,10689,659,towel,afdrogen,afdrogen,dry,1,5
CES201610,10757,662,towel,afdrogen,afdrogen,dry,1,5
CES201610,10889,668,towel,afdrogen,afdrogen,dry,1,5
CES201610,10953,674,towel,afdrogen,afdrogen,dry,1,5
CES201610,11079,686,towel,afdrogen,afdrogen,dry,1,5
CES201610,11158,692,towel,afdrogen,afdrogen,dry,1,5
CES201610,11230,701,towel,afdrogen,afdrogen,dry,1,5
CES201610,11287,707,towel,je mee afdrogen,afdrogen,dry,1,5
CES201610,11534,713,towel,afdrogen,afdrogen,dry,1,5
CES201610,11932,728,towel,afdrogen,afdrogen,dry,1,5
CES201610,11985,731,towel,afdrogen,afdrogen,dry,1,5
CES201610,12134,743,towel,afdrogen,afdrogen,dry,1,5
CES201610,12340,749,towel,afdrogen,afdrogen,dry,1,5
CES201610,12304,761,towel,afdrogen,afdrogen,dry,1,5
CES201610,12398,764,towel,afrdogen,afdrogen,dry,1,5
CES201610,12411,767,towel,afdrogen,afdrogen,dry,1,5
CES201610,12428,770,towel,afdrogen,afdrogen,dry,1,5
CES201610,12457,773,towel,afdrogen,afdrogen,dry,1,5
CES201610,12697,785,towel,afdrogen,afdrogen,dry,1,5
CES201610,12705,785,towel,ad\fdrogen,afdrogen,dry,1,5
CES201610,12766,788,towel,afdrogen,afdrogen,dry,1,5
CES201610,12794,791,towel,afdrogen,afdrogen,dry,1,5
CES201610,10909,671,towel,afdrogen borden,afdrogen borden,dry plates,1,5
CES201610,10910,671,towel,afdrogen lijf,afdrogen lijf,dry body,1,5
CES201610,12516,776,towel,afdroogdoek,afdroogdoek,drying cloth,1,5
CES201610,9946,611,towel,afdruipdoek,afdruip doek,drain cloth,1,5
CES201610,10558,647,towel,afkoeling,afkoeling,cooling,2,3
