research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201606,817,20,brick,aangeven dat je in nood bent door er lawaai mee te maken,aangeven nood bent lawaai,indicate distress noise,4,3
CES201606,911,23,brick,afbakening,afbakening,demarcation,2,4
CES201606,463,16,brick,anker,anker,anchor,3,3
CES201606,1970,48,brick,auto,auto,car,4,1
CES201606,523,17,brick,bakken,bakken,baking,3,3
CES201606,811,20,brick,bakken,bakken,baking,3,3
CES201606,1969,48,brick,baksteenwerpen,baksteen werpen,throw brick,2,5
CES201606,236,13,brick,je kan een baksteen gebruiken zodat je blaadjes niet weg waaien,baksteen zodat blaadjes niet weg waaien,brick so that leaves do not blow away,2,5
CES201606,902,23,brick,balspel,balspel,ball game,3,3
CES201606,1821,46,brick,balsport ervanger,balsport vervanger,ball sport substitute,3,3
CES201606,912,23,brick,bankje,bankje,bench,3,3
CES201606,461,16,brick,barbecue,barbecue,barbecue,3,4
CES201606,291,14,brick,om op te bbq'en,barbecueën,barbecuing,3,4
CES201606,617,18,brick,bed,bed,bed,3,4
CES201606,2048,50,brick,Een bed van bouwen,bed bouwen,build bed,2,4
CES201606,1415.4,36,brick,beeldhouwen,beeldhouwen,sculpt,2,4
CES201606,525,17,brick,begraven,begraven,bury,3,3
CES201606,1304,30,brick,betongieten in een mal,beton gieten mal,concrete pouring mold,2,3
CES201606,1178,27,brick,bierflesje openen,bierflesje openen,open beer bottle,3,5
CES201606,295,14,brick,iets bijschaven,bijschaven,refine,3,3
CES201606,234,13,brick,als blokje voor een voetbal spel,blokje voetbal spel,block football game,3,4
CES201606,393,15,brick,blokken,blokken,blocks,2,4
CES201606,903,23,brick,blokken bouwen,blokken bouwen,building blocks,2,4
CES201606,1657,43,brick,boekenlegger,boekenlegger,bookmark,3,2
CES201606,1036,24,brick,boekensteun,boekensteun,bookend,2,5
CES201606,1261,29,brick,boekensteun,boekensteun,bookend,2,5
CES201606,1662,43,brick,boekensteun,boekensteun,bookend,2,5
CES201606,1917,47,brick,boekensteun,boekensteun,bookend,2,5
CES201606,915,23,brick,bord om te eten,bord eten,plate of food,3,3
CES201606,286,14,brick,bouwen,bouwen,build,1,5
CES201606,1381,35,brick,bouwen,bouwen,build,1,5
CES201606,1415.1,36,brick,Bouwen,bouwen,build,1,5
CES201606,1537,39,brick,bouwen,bouwen,build,1,5
CES201606,521,17,brick,breken,breken,break,2,4
CES201606,1968,48,brick,brug,brug,bridge,3,4
CES201606,2064.1,51,brick,buitenoven maken,buitenoven,outdoor oven,3,3
CES201606,1182,27,brick,contragewicht,contragewicht,counterweight,2,4
CES201606,1581,40,brick,contragewicht,contragewicht,counterweight,2,4
CES201606,466,16,brick,dak,dak,roof,3,4
CES201606,172,12,brick,decoratie,decoratie,decoration,3,4
CES201606,465,16,brick,decoratie,decoratie,decoration,3,4
CES201606,1180,27,brick,decoratie,decoratie,decoration,3,4
CES201606,1181,27,brick,deurklem,deurklem,door clamp,2,5
CES201606,1582,40,brick,deurstopper,deurstopper,door stopper,2,5
CES201606,1658,43,brick,deurstop,deurstopper,door stopper,2,5
CES201606,1718,44,brick,Deurstopper,deurstopper,door stopper,2,5
CES201606,1751,45,brick,deurstop,deurstopper,door stopper,2,5
CES201606,1916,47,brick,deurstop,deurstopper,door stopper,2,5
CES201606,2020,49,brick,deurstopper,deurstopper,door stopper,2,5
CES201606,2058,51,brick,dingen kapot slaan,dingen kapot slaan,smash things,2,4
CES201606,1613,41,brick,Doden,doden,kill,2,4
CES201606,1070,25,brick,drumstel,drumstel,drum kit,4,2
CES201606,929,22,brick,erop zitten als je het opstapelt,erop zitten opstapelt,sitting on it piles up,3,3
CES201606,1134,26,brick,om evenwichtsoeveningen op te doen,evenwichtsoefeningen,balance exercises,3,4
CES201606,1826,46,brick,eye opener,eye opener,eye opener,5,1
CES201606,1383,35,brick,figuurtjes maken,figuurtjes,figures,3,3
CES201606,810,20,brick,foto's ervan maken,foto s ervan,photos of it,4,3
CES201606,238,13,brick,een garage,garage,garage,4,4
CES201606,692,19,brick,om een gat te dichten,gat dichten,close gap,2,3
CES201606,2049,50,brick,Gaten mee dichtmaken,gaten dichtmaken,close holes,2,3
CES201606,1218,28,brick,gebouw,gebouw,building,1,5
CES201606,299,14,brick,geluid maken,geluid,sound,3,3
CES201606,1973,48,brick,geluidswal,geluidswal,noise barrier,2,3
CES201606,1308,30,brick,geperst karton,geperst karton,pressed cardboard,2,2
CES201606,390,15,brick,gewicht,gewicht,weight,2,4
CES201606,462.3,16,brick,als gewicht aan een dobber oid (dus als anker),gewicht dobber,weight float,3,4
CES201606,909,23,brick,gewicht voor fitness,gewicht fitness,weight fitness,3,4
