research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
CES201705,15255,930,paperclip,iets ermee maken,,,1,3
CES201705,15958,960,paperclip,veel,,,0,0
CES201705,15960,960,paperclip,kunt,,,0,0
CES201705,16310.1,975,paperclip,7,,,0,0
CES201705,16614,995,paperclip,(haarspeldje is het blijkbaar),,,3,4
CES201705,13534,858,paperclip,aangeven,aangeven,indicate,2,3
CES201705,13362,849,paperclip,aansluiting,aansluiting,connection,1,4
CES201705,15633,949,paperclip,achternaam,achternaam,last name,4,2
CES201705,13797,870,paperclip,action,action,action,0,0
CES201705,15803,956,paperclip,administratie,administratie,administration,2,5
CES201705,13644,9999,paperclip,armband,armband,bracelet,3,4
CES201705,13991,880,paperclip,armband maken,armband,bracelet,3,4
CES201705,14676,896,paperclip,armband er van maken,armband,bracelet,3,4
CES201705,15243,925,paperclip,armband,armband,bracelet,3,4
CES201705,15433.3,938,paperclip, armband,armband,bracelet,3,4
CES201705,15810,956,paperclip,armband maken,armband,bracelet,3,4
CES201705,16173,971,paperclip,armband maken,armband,bracelet,3,4
CES201705,16558,992,paperclip,Armband,armband,bracelet,3,4
CES201705,14874,914,paperclip,armband/ketting van meerdere paperclips,armband ketting meerdere paperclips,bracelet chain multiple paper clips,3,4
CES201705,13955,877,paperclip,een armbandje van maken?,armbandje,bracelet,3,4
CES201705,16677,997,paperclip,Armbandje van maken door aangekaart rijgen,armbandje aangekaart rijgen,threading bracelet,3,4
CES201705,13988,880,paperclip,een art maken,art,art,3,3
CES201705,15636,949,paperclip,balanceren,balanceren,balance,3,3
CES201705,15634,949,paperclip,bestek,bestek,cutlery,3,3
CES201705,14069,883,paperclip,bh bandjes bij elkaar doen van achter,bh bandjes elkaar achter,bra straps together at back,2,5
CES201705,14096,884,paperclip,bh bandjes bij elkaar houden (in een x vorm),bh bandjes elkaar houden,bra straps hold together,2,5
CES201705,14890,915,paperclip,bh bandjes bij elkaar houden wanneer je een racerback top hebt,bh bandjes elkaar houden wanneer racerback top hebt,keep bra straps together when you have racerback top,2,5
CES201705,15317,927,paperclip,bh bandjes aan elkaar vasten maken,bh bandjes elkaar vasten,bra straps together,2,5
CES201705,15544,945,paperclip,Binden,binden,tie,1,5
CES201705,15801,956,paperclip,blaadje,blaadje,leaf,0,0
CES201705,14558,909,paperclip,blaadjes bij elkaar houden,blaadjes elkaar houden,leaves hold together,1,5
