research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201606,1876,46,book,aanbeeld,aanbeeld,anvil,4,2
CES201606,1284,29,book,aanmaakblok,aanmaakblok,fire starter,3,4
CES201606,2117,51,book,aanmaakblokken openhaart,aanmaakblokken open haard,fireplace firelighters,3,4
CES201606,574,17,book,achterstevoren lezen,achterstevoren lezen,read backwards,2,4
CES201606,1943.2,47,book, afschermen tegen zon,afschermen tegen zon,protect from sun,3,3
CES201606,208,12,book,baksteen,baksteen,brick,4,2
CES201606,2096,50,book,een barricade bouwen op straat,barricade bouwen straat,building barricade street,5,3
CES201606,1868,46,book,beeldschermstandaard,beeldschermstandaard,display stand,3,3
CES201606,563,17,book,begraven,begraven,bury,3,2
CES201606,852,20,book,naar beneden gooien,beneden gooien,throw down,3,2
CES201606,859,20,book,bibliotheek aanleggen,bibliotheek aanleggen,build library,2,2
CES201606,501,16,book,bijzettafel,bijzettafel,side table,4,4
CES201606,746,19,book,om blaadjes uit te scheuren,blaadjes scheuren,tear leaves,1,4
CES201606,1457,36,book,blz eruit scheuren en collage van maken,bladzijde eruit scheuren collage,tear out page collage,2,5
CES201606,2112,51,book,bladzijden eruithalen kaft,bladzijden eruit halen kaft,remove pages from cover,2,4
CES201606,210,12,book,bloempot,bloempot,flowerpot,5,3
CES201606,432,15,book,je kunt een boek goed rechtop zetten en er achter spieken,boek goed rechtop zetten achter spieken,Place book upright behind the spikes,2,5
CES201606,2092.1,50,book,Een boek neerleggen daarachter twee,boek neerleggen daarachter,put book down behind it,3,3
CES201606,1156,26,book,boekwerpen: de sport,boek werpen sport,book throwing sport,3,5
CES201606,855.2,20,book, boekenkast van boeken,boekenkast boeken,bookcase books,4,3
CES201606,1866,46,book,boekenlegger,boekenlegger,bookmark,3,3
CES201606,1154,26,book,gebruiken als boekenplank,boekenplank,bookshelf,3,4
CES201606,1867,46,book,boekenstandaard,boekenstandaard,book stand,2,4
CES201606,855.1,20,book,als boekenstandaard aan de muur hangen,boekenstandaard muur hangen,book stand hanging on wall,3,4
CES201606,430,15,book,gebruiken als boekensteun,boekensteun,bookend,2,4
CES201606,1454,36,book,boekensteun,boekensteun,bookend,2,4
CES201606,1602,40,book,boekensteun,boekensteun,bookend,2,4
CES201606,1685,43,book,boekensteun,boekensteun,bookend,2,4
CES201606,964,23,book,bord,bord,plate,3,3
CES201606,744,19,book,om mee te bouwen (meerdere),bouwen,build,3,3
CES201606,350,14,book,je kunt het ook gebruiken als bouwsteen,bouwsteen,building block,3,2
CES201606,1562,39,book,als bouwsteen gebruiken,bouwsteen,building block,3,2
CES201606,498,16,book,brandmateriaal,brandmateriaal,burning material,2,4
